geneID	leaf.AVG	stem.AVG	LogFC
GSCOC_T00017594001	4.26	3.93	-0.33
GSCOC_T00017596001	4.55	4.52	-0.02
GSCOC_T00017597001	5.25	2.43	-2.81
GSCOC_T00017598001	6.26	2.93	-3.32
GSCOC_T00017600001	4.65	4.09	-0.56
GSCOC_T00017601001	4.96	4.29	-0.67
GSCOC_T00017602001	4.05	3.39	-0.66
GSCOC_T00017604001	4.9	5.98	1.08
GSCOC_T00017606001	1.79	0.14	-1.66
GSCOC_T00017607001	3.42	2.63	-0.79
GSCOC_T00017609001	5.55	1.81	-3.73
GSCOC_T00017610001	2.75	-1.73	-4.49
GSCOC_T00017611001	7.43	7.16	-0.27
GSCOC_T00017612001	3.22	1.52	-1.71
GSCOC_T00017614001	5.89	5.4	-0.49
GSCOC_T00017620001	0.55	1.14	0.58
GSCOC_T00017622001	2.54	2.57	0.04
GSCOC_T00017623001	5.65	5.65	-0.01
GSCOC_T00017624001	6.12	5.16	-0.96
GSCOC_T00017626001	2.74	2.19	-0.54
GSCOC_T00017627001	4.52	4.76	0.24
GSCOC_T00017628001	1.34	1.59	0.25
GSCOC_T00017630001	5.83	5.57	-0.26
GSCOC_T00017631001	-1.16	1.61	2.77
GSCOC_T00017635001	3.91	3.66	-0.25
GSCOC_T00017638001	4.33	3.98	-0.35
GSCOC_T00017642001	1.44	-1.03	-2.47
GSCOC_T00017643001	4.7	2.58	-2.13
GSCOC_T00017644001	5.31	2.98	-2.33
GSCOC_T00017645001	7.28	3.73	-3.55
GSCOC_T00017646001	6.73	3.1	-3.63
GSCOC_T00017647001	6.29	5.03	-1.25
GSCOC_T00017649001	6.79	6.82	0.03
GSCOC_T00017651001	1.48	3.78	2.3
GSCOC_T00017652001	2.76	3.74	0.98
GSCOC_T00017653001	3.79	4.55	0.76
GSCOC_T00017654001	5.78	5.36	-0.42
GSCOC_T00017664001	2.78	2.93	0.15
GSCOC_T00017665001	5.71	5.73	0.02
GSCOC_T00017666001	4.78	3.43	-1.35
GSCOC_T00017667001	3.32	2.47	-0.85
GSCOC_T00017671001	0.95	0.42	-0.54
GSCOC_T00017672001	5.73	6.23	0.5
GSCOC_T00017673001	6.67	6.5	-0.16
GSCOC_T00017674001	4.8	2.79	-2.01
GSCOC_T00017677001	5.48	5.74	0.27
GSCOC_T00017679001	1.42	1.81	0.39
GSCOC_T00017680001	3.75	3.75	-0
GSCOC_T00017683001	4.04	0.56	-3.48
GSCOC_T00017684001	4.57	1.53	-3.04
GSCOC_T00017685001	4.87	2.34	-2.53
GSCOC_T00017686001	0.78	-0.42	-1.2
GSCOC_T00017687001	5.66	5.34	-0.32
GSCOC_T00017688001	6.02	6.01	-0.01
GSCOC_T00017689001	4.17	4.03	-0.14
GSCOC_T00017690001	9.56	8.3	-1.25
GSCOC_T00017692001	2.63	3.45	0.82
GSCOC_T00017693001	4.35	4.67	0.31
GSCOC_T00017694001	6.33	6.92	0.59
GSCOC_T00017695001	3.72	4.98	1.26
GSCOC_T00017696001	0.65	1.39	0.74
GSCOC_T00017697001	3.66	4.27	0.61
GSCOC_T00017702001	-1.29	1.4	2.69
GSCOC_T00017703001	0.54	2.51	1.97
GSCOC_T00017710001	2.61	7.3	4.69
GSCOC_T00017711001	1.03	-0.92	-1.95
GSCOC_T00017712001	5.17	5.75	0.58
GSCOC_T00017715001	5.18	7.08	1.9
GSCOC_T00017717001	6.05	6.86	0.8
GSCOC_T00017720001	3.53	3.59	0.05
GSCOC_T00017721001	5.16	5.09	-0.07
GSCOC_T00017723001	6.3	6.47	0.18
GSCOC_T00017724001	3.15	4.13	0.98
GSCOC_T00017725001	4.85	4.27	-0.59
GSCOC_T00017727001	6.78	7.24	0.47
GSCOC_T00017730001	6.1	7.09	0.99
GSCOC_T00017731001	5.41	6.58	1.17
GSCOC_T00017732001	6.82	5.77	-1.05
GSCOC_T00017735001	10.09	6.42	-3.67
GSCOC_T00017736001	6.64	5.36	-1.28
GSCOC_T00017737001	6.67	6.44	-0.23
GSCOC_T00017739001	3.65	0.56	-3.09
GSCOC_T00017740001	1.28	0.62	-0.66
GSCOC_T00017741001	4.94	3.16	-1.78
GSCOC_T00017744001	4.63	4.06	-0.56
GSCOC_T00017745001	5.45	5.8	0.35
GSCOC_T00017746001	-0.03	4.14	4.17
GSCOC_T00017748001	2.94	3.4	0.46
GSCOC_T00017749001	3.64	3.81	0.17
GSCOC_T00017751001	5.81	6.1	0.29
GSCOC_T00017752001	5.04	5.52	0.48
GSCOC_T00017755001	0.99	4.96	3.97
GSCOC_T00017756001	2.3	2.2	-0.1
GSCOC_T00017758001	2.1	4.2	2.1
GSCOC_T00017760001	8.68	7.91	-0.76
GSCOC_T00017761001	8.33	7.7	-0.63
GSCOC_T00017764001	5.44	5.45	0.02
GSCOC_T00017765001	1.72	3.9	2.19
GSCOC_T00017767001	4.91	5.24	0.33
GSCOC_T00017768001	3.43	5.76	2.34
GSCOC_T00017770001	2.95	6.09	3.15
GSCOC_T00017771001	2.88	3.67	0.79
GSCOC_T00017772001	8.19	7.02	-1.17
GSCOC_T00017774001	8.93	10.76	1.83
GSCOC_T00017776001	5.46	4.84	-0.62
GSCOC_T00017778001	5.25	5.23	-0.03
GSCOC_T00017779001	4.05	4.29	0.24
GSCOC_T00017780001	8.09	2.32	-5.77
GSCOC_T00017783001	8	5.91	-2.1
GSCOC_T00017784001	-3.21	1.28	4.48
GSCOC_T00017785001	5.91	5.77	-0.15
GSCOC_T00017786001	1.72	4.43	2.72
GSCOC_T00017787001	1.5	3.5	1.99
GSCOC_T00017788001	3.31	3.84	0.54
GSCOC_T00017791001	4.1	4.28	0.18
GSCOC_T00017792001	7	6.88	-0.12
GSCOC_T00017793001	5.13	3.14	-1.99
GSCOC_T00017795001	4.79	6.51	1.72
GSCOC_T00017796001	-1.78	3.97	5.75
GSCOC_T00017799001	3.24	3.23	-0.01
GSCOC_T00017800001	7.64	6.46	-1.18
GSCOC_T00017801001	8.63	6.7	-1.94
GSCOC_T00017802001	6.28	6.39	0.12
GSCOC_T00017805001	1.84	-1.73	-3.57
GSCOC_T00017808001	4.47	5.36	0.89
GSCOC_T00017810001	7.33	8.25	0.92
GSCOC_T00017812001	6.46	5.31	-1.15
GSCOC_T00017813001	2.82	4.3	1.49
GSCOC_T00017822001	4.07	4.08	0.02
GSCOC_T00017824001	4.5	3.85	-0.65
GSCOC_T00017825001	6.06	4.6	-1.46
GSCOC_T00017827001	4.44	3.99	-0.44
GSCOC_T00017828001	7.56	7.53	-0.03
GSCOC_T00017830001	3.01	2.65	-0.36
GSCOC_T00017832001	5.05	2.19	-2.86
GSCOC_T00017833001	3.71	3.96	0.25
GSCOC_T00017834001	5.08	6.95	1.87
GSCOC_T00017835001	5.54	3.99	-1.55
GSCOC_T00017836001	5.76	4.26	-1.5
GSCOC_T00017838001	2.63	2.27	-0.35
GSCOC_T00017839001	5.26	4.93	-0.33
GSCOC_T00017841001	5.46	5.47	0.01
GSCOC_T00017842001	-2.2	6.76	8.96
GSCOC_T00017844001	5.59	5.84	0.24
GSCOC_T00017846001	5.1	5.45	0.35
GSCOC_T00017847001	3.86	2.39	-1.47
GSCOC_T00017849001	6.56	7.28	0.72
GSCOC_T00017851001	6.04	5.11	-0.93
GSCOC_T00017852001	1.84	-0.13	-1.97
GSCOC_T00017853001	7.63	6.34	-1.29
GSCOC_T00017855001	5.21	4.91	-0.3
GSCOC_T00017858001	4.16	4.31	0.15
GSCOC_T00017860001	6	2.16	-3.85
GSCOC_T00017861001	8.78	4.55	-4.23
GSCOC_T00017862001	6.15	4.3	-1.85
GSCOC_T00017865001	-1.89	1.13	3.03
GSCOC_T00017866001	2.78	4.71	1.94
GSCOC_T00017868001	5.77	6.09	0.32
GSCOC_T00017869001	4.33	5.73	1.4
GSCOC_T00017870001	1.35	0.62	-0.73
GSCOC_T00017872001	3.91	3.08	-0.84
GSCOC_T00017873001	3.09	3.84	0.75
GSCOC_T00017875001	3.53	2.97	-0.56
GSCOC_T00017876001	5.49	5.61	0.12
GSCOC_T00017877001	5.38	5.68	0.3
GSCOC_T00017881001	6.16	7.46	1.29
GSCOC_T00017882001	6.21	6.6	0.39
GSCOC_T00017883001	6.1	5.55	-0.55
GSCOC_T00017884001	1.45	2.63	1.18
GSCOC_T00017886001	2.86	3.01	0.15
GSCOC_T00017888001	6.64	6.88	0.24
GSCOC_T00017889001	6.37	5.84	-0.53
GSCOC_T00017891001	3.13	4.07	0.93
GSCOC_T00017893001	4.18	3.55	-0.63
GSCOC_T00017894001	6.41	7.14	0.73
GSCOC_T00017896001	7.43	6.69	-0.74
GSCOC_T00017899001	6.85	7.67	0.82
GSCOC_T00017901001	6.24	6.77	0.53
GSCOC_T00017903001	7.27	7.28	0.01
GSCOC_T00017904001	6.45	6.31	-0.14
GSCOC_T00017905001	7.57	7.07	-0.5
GSCOC_T00017906001	5.11	4.67	-0.44
GSCOC_T00017911001	4	1.05	-2.96
GSCOC_T00017912001	2.28	4.49	2.2
GSCOC_T00017913001	7.06	7.3	0.25
GSCOC_T00017914001	0.32	3.85	3.53
GSCOC_T00017915001	5.82	5.7	-0.13
GSCOC_T00017917001	5.14	6.21	1.07
GSCOC_T00017919001	8.66	8.87	0.21
GSCOC_T00017922001	6.75	6.63	-0.11
GSCOC_T00017924001	0.69	2.54	1.85
GSCOC_T00017925001	6.87	7.16	0.3
GSCOC_T00017926001	6.95	6.26	-0.69
GSCOC_T00017928001	-0.14	2.77	2.91
GSCOC_T00017930001	7.19	5.89	-1.31
GSCOC_T00017931001	3.8	3.54	-0.27
GSCOC_T00017933001	3.45	0.93	-2.52
GSCOC_T00017935001	2.45	2.55	0.11
GSCOC_T00017942001	1.83	5.51	3.67
GSCOC_T00017943001	4.03	7.71	3.68
GSCOC_T00017944001	5.13	4.73	-0.4
GSCOC_T00017946001	9.86	6.35	-3.52
GSCOC_T00017947001	3.01	3.64	0.64
GSCOC_T00017951001	3.68	5.78	2.1
GSCOC_T00017952001	7.38	6.54	-0.83
GSCOC_T00017955001	0.69	1.59	0.9
GSCOC_T00017956001	3.58	4.22	0.64
GSCOC_T00017957001	2.44	3.4	0.96
GSCOC_T00017958001	3.57	3.88	0.31
GSCOC_T00017959001	3.57	3.96	0.38
GSCOC_T00017960001	4.36	7.69	3.34
GSCOC_T00017961001	4.74	3.4	-1.34
GSCOC_T00017963001	3.3	3.97	0.68
GSCOC_T00017964001	7.33	6.97	-0.36
GSCOC_T00017965001	5.24	5.05	-0.19
GSCOC_T00017966001	5.12	4.79	-0.33
GSCOC_T00017967001	6.97	6.87	-0.09
GSCOC_T00017968001	2.85	2.56	-0.3
GSCOC_T00017969001	3.94	2.4	-1.54
GSCOC_T00017970001	7.32	6.24	-1.07
GSCOC_T00017973001	4.43	3.68	-0.75
GSCOC_T00017975001	2.89	3.45	0.56
GSCOC_T00017977001	4.25	6.44	2.19
GSCOC_T00017978001	8.07	6.65	-1.42
GSCOC_T00017979001	4.89	4.96	0.07
GSCOC_T00017980001	5.16	6.38	1.22
GSCOC_T00017981001	3.21	4.2	0.99
GSCOC_T00017982001	5.46	5.81	0.35
GSCOC_T00017984001	4.94	5.32	0.38
GSCOC_T00017985001	2.66	0.75	-1.91
GSCOC_T00017986001	5.76	7.64	1.88
GSCOC_T00017988001	2.95	5.15	2.2
GSCOC_T00017989001	5.14	7.16	2.02
GSCOC_T00017990001	3.76	5.54	1.78
GSCOC_T00017991001	6.83	6.34	-0.48
GSCOC_T00017992001	7.69	7.03	-0.66
GSCOC_T00017993001	5.25	4.87	-0.38
GSCOC_T00017994001	6.44	6.86	0.42
GSCOC_T00017996001	1.63	1.77	0.15
GSCOC_T00017997001	4.15	4.54	0.38
GSCOC_T00017998001	5.4	5.11	-0.29
GSCOC_T00017999001	5.89	5.35	-0.53
GSCOC_T00018000001	6.97	6.37	-0.61
GSCOC_T00018001001	2.13	3.29	1.16
GSCOC_T00018008001	4.57	4.11	-0.46
GSCOC_T00018013001	5.8	5.38	-0.42
GSCOC_T00018015001	4.45	3.58	-0.87
GSCOC_T00018016001	4.54	0.2	-4.34
GSCOC_T00018017001	7.33	6.23	-1.09
GSCOC_T00018018001	0.28	0.35	0.06
GSCOC_T00018020001	5.75	4.21	-1.54
GSCOC_T00018021001	1.62	-1.48	-3.1
GSCOC_T00018028001	4.7	3.91	-0.79
GSCOC_T00018042001	-0.14	3.93	4.07
GSCOC_T00018044001	1.55	0.75	-0.8
GSCOC_T00018045001	0.75	1.2	0.45
GSCOC_T00018048001	1.89	0.38	-1.51
GSCOC_T00018049001	2.51	1.16	-1.35
GSCOC_T00018050001	5.98	6.45	0.47
GSCOC_T00018056001	2.23	2.86	0.64
GSCOC_T00018057001	3.8	8.21	4.41
GSCOC_T00018058001	6.07	7.25	1.18
GSCOC_T00018059001	0.7	-0.23	-0.93
GSCOC_T00018063001	6.41	6.78	0.37
GSCOC_T00018065001	6.32	5.97	-0.36
GSCOC_T00018067001	0.99	-1.42	-2.4
GSCOC_T00018068001	3.84	4.77	0.93
GSCOC_T00018070001	1.5	2.86	1.36
GSCOC_T00018071001	4.91	5.16	0.25
GSCOC_T00018073001	3.88	4.47	0.59
GSCOC_T00018074001	5.31	5.31	-0.01
GSCOC_T00018075001	5.49	5.57	0.09
GSCOC_T00018079001	1.24	1.02	-0.22
GSCOC_T00018081001	-0.52	0.57	1.09
GSCOC_T00018085001	-0.87	0.33	1.19
GSCOC_T00018089001	1.55	-0.53	-2.08
GSCOC_T00018090001	5.47	5.51	0.03
GSCOC_T00018091001	5.11	4.86	-0.24
GSCOC_T00018092001	-0.32	5.12	5.44
GSCOC_T00018098001	0.16	2.66	2.5
GSCOC_T00018099001	3.36	2.66	-0.7
GSCOC_T00018109001	1.72	2	0.27
GSCOC_T00018110001	0.71	0.62	-0.09
GSCOC_T00018111001	3.29	3.35	0.06
GSCOC_T00018112001	4.87	4.37	-0.51
GSCOC_T00018114001	3.94	2.76	-1.18
GSCOC_T00018115001	3.24	-1.48	-4.72
GSCOC_T00018116001	3.58	3.85	0.26
GSCOC_T00018117001	5.09	4.51	-0.58
GSCOC_T00018118001	6.06	5.15	-0.91
GSCOC_T00018119001	3.35	3.07	-0.27
GSCOC_T00018120001	2.26	4.53	2.27
GSCOC_T00018123001	7.02	6.39	-0.63
GSCOC_T00018124001	5.02	4.54	-0.49
GSCOC_T00018132001	4.34	6.35	2.01
GSCOC_T00018138001	6.5	6.36	-0.14
GSCOC_T00018153001	5.89	6.57	0.68
GSCOC_T00018159001	7.31	6.97	-0.33
GSCOC_T00018161001	0.77	0.81	0.04
GSCOC_T00018162001	0.32	-0.42	-0.74
GSCOC_T00018166001	7.22	6.92	-0.29
GSCOC_T00018167001	2.41	2.65	0.24
GSCOC_T00018168001	3.15	3.07	-0.09
GSCOC_T00018169001	7.01	6.28	-0.73
GSCOC_T00018173001	4.54	4.54	-0
GSCOC_T00018176001	5.28	4.47	-0.81
GSCOC_T00018182001	7.05	4.23	-2.82
GSCOC_T00018186001	3.82	-1.9	-5.71
GSCOC_T00018187001	4.65	3.23	-1.41
GSCOC_T00018191001	6.22	6.06	-0.17
GSCOC_T00018193001	1.91	1.8	-0.11
GSCOC_T00018197001	6.78	5.88	-0.9
GSCOC_T00018201001	3.76	3.64	-0.12
GSCOC_T00018202001	5.22	4.76	-0.45
GSCOC_T00018205001	3.91	3.61	-0.3
GSCOC_T00018208001	3.16	3.03	-0.14
GSCOC_T00018209001	2.58	0.13	-2.45
GSCOC_T00018214001	4.66	5.28	0.62
GSCOC_T00018216001	6.19	5.76	-0.43
GSCOC_T00018217001	4.04	3.31	-0.73
GSCOC_T00018219001	4.19	3.87	-0.32
GSCOC_T00018220001	2.08	1.33	-0.75
GSCOC_T00018222001	3.83	4.04	0.21
GSCOC_T00018223001	6.15	4.54	-1.61
GSCOC_T00018224001	4.14	3.65	-0.49
GSCOC_T00018225001	4.14	3.45	-0.69
GSCOC_T00018227001	2.97	2.33	-0.63
GSCOC_T00018230001	0.68	-0.64	-1.32
GSCOC_T00018241001	3.03	3.4	0.36
GSCOC_T00018244001	2.36	3.08	0.72
GSCOC_T00018247001	2.3	2.88	0.58
GSCOC_T00018248001	2.81	2.99	0.19
GSCOC_T00018255001	2.84	1.18	-1.66
GSCOC_T00018256001	5	4.4	-0.6
GSCOC_T00018260001	6.89	7.14	0.25
GSCOC_T00018261001	4.84	4.77	-0.08
GSCOC_T00018263001	3.93	3.17	-0.76
GSCOC_T00018264001	1.77	1.98	0.21
GSCOC_T00018265001	1.64	2.33	0.7
GSCOC_T00018266001	0.47	1.19	0.72
GSCOC_T00018267001	5.81	5.86	0.05
GSCOC_T00018269001	5.36	5.11	-0.25
GSCOC_T00018271001	2.23	0.99	-1.23
GSCOC_T00018272001	5.42	4.67	-0.76
GSCOC_T00018273001	1.3	-1.35	-2.65
GSCOC_T00018274001	6.51	3.99	-2.52
GSCOC_T00018284001	5.5	4.92	-0.58
GSCOC_T00018287001	2.55	6.55	4
GSCOC_T00018290001	7.05	6.72	-0.34
GSCOC_T00018291001	4.37	3.81	-0.56
GSCOC_T00018292001	5.15	4.78	-0.36
GSCOC_T00018293001	4.69	4.14	-0.55
GSCOC_T00018295001	4.9	4.08	-0.82
GSCOC_T00018297001	3.52	2.6	-0.92
GSCOC_T00018298001	3.77	0.7	-3.07
GSCOC_T00018299001	2.49	1.49	-1
GSCOC_T00018301001	3.88	3.24	-0.65
GSCOC_T00018302001	-0.2	0.8	1
GSCOC_T00018306001	5.46	3.43	-2.03
GSCOC_T00018313001	3.02	1.78	-1.24
GSCOC_T00018315001	1.97	1.75	-0.22
GSCOC_T00018320001	5.51	5.06	-0.45
GSCOC_T00018330001	3.4	2.74	-0.66
GSCOC_T00018332001	4.38	4	-0.38
GSCOC_T00018334001	3.89	1.75	-2.14
GSCOC_T00018338001	0.64	0.7	0.06
GSCOC_T00018340001	3.52	5.08	1.57
GSCOC_T00018347001	2.56	-0.16	-2.72
GSCOC_T00018351001	3.34	1.96	-1.38
GSCOC_T00018354001	5.3	6.18	0.88
GSCOC_T00018356001	-0.95	1.66	2.61
GSCOC_T00018357001	5.14	3.91	-1.22
GSCOC_T00018358001	4.88	4.36	-0.53
GSCOC_T00018359001	3.05	5.76	2.71
GSCOC_T00018365001	3.77	4.25	0.49
GSCOC_T00018367001	3.35	5.25	1.9
GSCOC_T00018368001	6.23	5.14	-1.09
GSCOC_T00018369001	3.75	2.69	-1.06
GSCOC_T00018378001	1.89	2.38	0.49
GSCOC_T00018382001	-1.27	0.99	2.27
GSCOC_T00018384001	-1.67	1.7	3.38
GSCOC_T00018389001	1.11	-1.64	-2.75
GSCOC_T00018391001	2.91	-0.77	-3.68
GSCOC_T00018393001	3.7	-2.32	-6.01
GSCOC_T00018396001	-0.96	1.32	2.28
GSCOC_T00018398001	2.34	2.73	0.39
GSCOC_T00018400001	3.44	3.32	-0.12
GSCOC_T00018402001	1.16	2.89	1.73
GSCOC_T00018409001	2.63	-0.06	-2.69
GSCOC_T00018412001	3.97	2.9	-1.08
GSCOC_T00018413001	2.85	2.75	-0.11
GSCOC_T00018415001	4.2	4.93	0.73
GSCOC_T00018421001	3.97	2.61	-1.36
GSCOC_T00018431001	1.38	1.51	0.13
GSCOC_T00018435001	3.94	4.49	0.55
GSCOC_T00018441001	7.61	6.34	-1.27
GSCOC_T00018443001	5.49	5.89	0.4
GSCOC_T00018463001	3.86	3.42	-0.44
GSCOC_T00018464001	3.61	3.16	-0.46
GSCOC_T00018465001	-1.67	1.08	2.75
GSCOC_T00018466001	6.05	5.93	-0.12
GSCOC_T00018468001	3.05	-0.23	-3.28
GSCOC_T00018469001	5.93	6.4	0.47
GSCOC_T00018474001	2.92	2.96	0.05
GSCOC_T00018481001	6.77	6.37	-0.4
GSCOC_T00018482001	1.49	1.98	0.49
GSCOC_T00018483001	4.21	3.56	-0.65
GSCOC_T00018485001	5.15	3.52	-1.63
GSCOC_T00018487001	7.67	6.48	-1.2
GSCOC_T00018488001	6.23	5.62	-0.6
GSCOC_T00018501001	5.27	5.35	0.08
GSCOC_T00018511001	3.9	1.76	-2.14
GSCOC_T00018513001	5.06	3.21	-1.85
GSCOC_T00018514001	-1.16	0.85	2
GSCOC_T00018516001	0.32	0.41	0.09
GSCOC_T00018525001	2.53	4.83	2.3
GSCOC_T00018534001	2.58	1.81	-0.77
GSCOC_T00018537001	5.4	4.38	-1.02
GSCOC_T00018540001	4.71	3.81	-0.91
GSCOC_T00018541001	5.16	4.09	-1.07
GSCOC_T00018543001	5.9	4.88	-1.02
GSCOC_T00018545001	4.95	5.17	0.22
GSCOC_T00018548001	4.59	5.22	0.63
GSCOC_T00018557001	5.84	5.74	-0.1
GSCOC_T00018559001	7.85	6.69	-1.17
GSCOC_T00018561001	3.35	6.21	2.86
GSCOC_T00018562001	5.17	5.49	0.32
GSCOC_T00018565001	2.41	1.88	-0.53
GSCOC_T00018566001	4.69	2.43	-2.27
GSCOC_T00018569001	4.45	5.16	0.71
GSCOC_T00018573001	5.35	5.29	-0.06
GSCOC_T00018581001	5.16	4.98	-0.18
GSCOC_T00018583001	6.02	5.12	-0.9
GSCOC_T00018589001	3.82	4.72	0.89
GSCOC_T00018590001	6.31	5.22	-1.09
GSCOC_T00018591001	4.82	4.38	-0.44
GSCOC_T00018592001	1.46	2.67	1.21
GSCOC_T00018594001	2.62	3.35	0.74
GSCOC_T00018595001	3.02	2.96	-0.06
GSCOC_T00018597001	1.9	2.06	0.16
GSCOC_T00018599001	3.24	2.71	-0.53
GSCOC_T00018601001	1.86	1.19	-0.67
GSCOC_T00018603001	4.79	5.15	0.36
GSCOC_T00018611001	-2.43	1.52	3.95
GSCOC_T00018612001	1.71	3.69	1.99
GSCOC_T00018614001	4.76	5.13	0.37
GSCOC_T00018615001	1.89	1.91	0.02
GSCOC_T00018616001	3.8	3.6	-0.2
GSCOC_T00018617001	2.89	4.15	1.26
GSCOC_T00018619001	3.76	1.49	-2.27
GSCOC_T00018620001	4.04	2.86	-1.19
GSCOC_T00018625001	4.69	8.36	3.67
GSCOC_T00018628001	3.11	3.7	0.59
GSCOC_T00018629001	5.23	5.38	0.16
GSCOC_T00018631001	5.97	5.9	-0.07
GSCOC_T00018633001	7.56	7.5	-0.06
GSCOC_T00018635001	4.77	4.62	-0.15
GSCOC_T00018636001	-0.92	2.91	3.83
GSCOC_T00018643001	5	2.89	-2.12
GSCOC_T00018644001	5.13	5.47	0.34
GSCOC_T00018646001	5.61	6.03	0.42
GSCOC_T00018647001	5	4.63	-0.37
GSCOC_T00018650001	2.22	2.7	0.48
GSCOC_T00018651001	2.61	1.9	-0.71
GSCOC_T00018652001	2.36	2.4	0.04
GSCOC_T00018653001	6.86	2.58	-4.28
GSCOC_T00018656001	3.77	4.12	0.34
GSCOC_T00018657001	2.29	2.88	0.59
GSCOC_T00018660001	3.24	3.48	0.24
GSCOC_T00018662001	5.8	6.19	0.39
GSCOC_T00018663001	2.72	2.88	0.16
GSCOC_T00018664001	1.85	2.11	0.25
GSCOC_T00018667001	1.01	1.37	0.36
GSCOC_T00018672001	6.06	4.94	-1.12
GSCOC_T00018674001	4.72	4.82	0.1
GSCOC_T00018675001	5.4	5.23	-0.17
GSCOC_T00018679001	5.63	4.59	-1.04
GSCOC_T00018681001	5.3	5.79	0.49
GSCOC_T00018684001	6.03	6.3	0.27
GSCOC_T00018686001	1.13	-3.21	-4.34
GSCOC_T00018687001	-1.39	0.83	2.22
GSCOC_T00018688001	6.94	8.78	1.85
GSCOC_T00018689001	4.07	4.07	0
GSCOC_T00018696001	2.39	2.78	0.39
GSCOC_T00018698001	-0.31	4.42	4.73
GSCOC_T00018699001	5.17	3.19	-1.98
GSCOC_T00018702001	1.03	2.23	1.2
GSCOC_T00018714001	4.68	4.04	-0.64
GSCOC_T00018716001	3.89	2.57	-1.31
GSCOC_T00018718001	6.19	5.95	-0.24
GSCOC_T00018720001	5.63	5.65	0.02
GSCOC_T00018721001	1.62	1.84	0.22
GSCOC_T00018723001	2.99	3.13	0.15
GSCOC_T00018724001	4.02	4.46	0.44
GSCOC_T00018725001	5.67	3.33	-2.35
GSCOC_T00018727001	4.62	4.27	-0.36
GSCOC_T00018730001	-2.25	1.69	3.94
GSCOC_T00018731001	2.92	1.75	-1.17
GSCOC_T00018734001	4.3	4.13	-0.17
GSCOC_T00018735001	0.7	1.23	0.53
GSCOC_T00018736001	-2.2	1.92	4.12
GSCOC_T00018737001	0.48	4.04	3.56
GSCOC_T00018741001	3.74	3.93	0.19
GSCOC_T00018743001	2.72	2.81	0.09
GSCOC_T00018744001	6.29	4.29	-2
GSCOC_T00018745001	4.89	2.12	-2.77
GSCOC_T00018747001	3.73	0.4	-3.33
GSCOC_T00018749001	-0.53	1.3	1.83
GSCOC_T00018752001	8.22	7.04	-1.18
GSCOC_T00018756001	4.48	3.85	-0.63
GSCOC_T00018758001	5.1	5	-0.1
GSCOC_T00018759001	1.04	0.26	-0.78
GSCOC_T00018760001	2.63	3.01	0.38
GSCOC_T00018762001	7.57	7.42	-0.15
GSCOC_T00018764001	1.83	2.31	0.48
GSCOC_T00018768001	5.84	5.57	-0.27
GSCOC_T00018769001	4.69	4.39	-0.3
GSCOC_T00018770001	6.38	6.72	0.34
GSCOC_T00018773001	5.82	6.38	0.56
GSCOC_T00018775001	4.2	3.99	-0.21
GSCOC_T00018776001	4.81	4.46	-0.34
GSCOC_T00018778001	5.96	5.19	-0.77
GSCOC_T00018780001	5.92	5.83	-0.09
GSCOC_T00018787001	6.53	4.14	-2.39
GSCOC_T00018794001	-3.21	3.15	6.36
GSCOC_T00018796001	0.38	2.78	2.4
GSCOC_T00018797001	-0.19	2.56	2.75
GSCOC_T00018805001	2.49	5.89	3.4
GSCOC_T00018807001	0.09	2.16	2.06
GSCOC_T00018808001	2.63	7.43	4.8
GSCOC_T00018809001	5.55	5.62	0.07
GSCOC_T00018814001	4.05	0.25	-3.8
GSCOC_T00018815001	3.54	-0.21	-3.76
GSCOC_T00018816001	5.04	0.73	-4.31
GSCOC_T00018818001	0.44	1.38	0.94
GSCOC_T00018821001	2.44	3.74	1.3
GSCOC_T00018822001	1.92	3.21	1.29
GSCOC_T00018823001	1.4	2.56	1.16
GSCOC_T00018827001	-0.62	0.91	1.53
GSCOC_T00018828001	3.03	4.51	1.48
GSCOC_T00018829001	3.55	7.07	3.51
GSCOC_T00018830001	1.62	4.35	2.72
GSCOC_T00018831001	5.16	4.74	-0.42
GSCOC_T00018832001	4.24	3.79	-0.45
GSCOC_T00018834001	1.82	0.53	-1.29
GSCOC_T00018835001	2.11	1.61	-0.51
GSCOC_T00018838001	5.14	1.46	-3.69
GSCOC_T00018839001	3.81	4.45	0.64
GSCOC_T00018840001	1.83	1.96	0.12
GSCOC_T00018841001	1.76	2.07	0.31
GSCOC_T00018843001	2.23	2.64	0.41
GSCOC_T00018845001	0.36	3.71	3.35
GSCOC_T00018847001	-1.24	1.08	2.32
GSCOC_T00018849001	0.78	2.74	1.96
GSCOC_T00018859001	1.32	-2.81	-4.13
GSCOC_T00018869001	7.17	5.06	-2.11
GSCOC_T00018871001	2.07	-1.05	-3.12
GSCOC_T00018879001	3.23	3.04	-0.19
GSCOC_T00018880001	2.98	1.64	-1.34
GSCOC_T00018883001	2.51	-0.02	-2.53
GSCOC_T00018887001	1.94	2.06	0.11
GSCOC_T00018889001	2.79	2.93	0.13
GSCOC_T00018890001	2.87	2.92	0.04
GSCOC_T00018891001	6.43	6.32	-0.12
GSCOC_T00018897001	7.59	6.35	-1.24
GSCOC_T00018898001	3.19	3.09	-0.1
GSCOC_T00018903001	5.38	5.43	0.05
GSCOC_T00018907001	6.28	5.54	-0.74
