geneID	L42	L41	L32	L31	S42	S41	S32	S31
GSCOC_T00003165001	5.053831493561422	5.184115147506643	4.493221313013428	4.610856866228331	6.319138980340997	6.432191770603548	6.731443659119714	6.7712343118503
GSCOC_T00003181001	3.32301567395818	2.269059083730255	3.4612485139651783	3.206815230161171	1.6700346292899213	1.377643595014221	2.6181563763700355	1.5731314400442513
GSCOC_T00003186001	2.9466785367372856	2.782725921418041	3.405751922227037	3.270744634355465	1.8721383168445118	1.1793164110909267	1.2685668670332968	2.145918594554426
GSCOC_T00003223001	6.49390399888629	6.579599157797986	5.4699688338544314	5.631453746130763	7.158989210706233	7.102061835526481	7.625172903406917	7.593630341074155
GSCOC_T00003226001	1.7467390571619896	1.4639700957521218	0.6538893378816356	1.2021432911786991	2.3763030570354218	2.060669888427161	3.0194268974921656	3.1418333726975507
GSCOC_T00003227001	8.15857768228174	8.010947536776108	7.806127903625942	7.695865665200402	5.191237164533982	5.090249899165576	5.506663573757162	5.4002675194995655
GSCOC_T00003232001	2.000471155976291	2.5457999638282782	2.6469912615741578	3.001283019363674	0.1817225830742834	0.15049303918668802	-0.37669602873811336	0.04363399926654258
GSCOC_T00003233001	6.335488392003213	6.57409725423339	5.7769414660665825	5.920486011994873	6.375776757741375	6.590672805603265	7.751257873676881	7.997563121528532
GSCOC_T00003235001	2.9587260918718705	3.2732517724908496	3.3693950865542495	3.4956732512557234	4.600050198015315	4.465211696120356	4.875215719552762	4.814930493912199
GSCOC_T00003236001	5.267866139896974	5.472912489519813	5.849756796038727	6.05053600958508	3.521089051756546	3.5312537781697233	2.5593679994425522	2.5204081184334317
GSCOC_T00003238001	5.339679153360396	5.342501967588988	4.6684673190630965	4.695090908533892	3.990839181116154	3.982527823562777	3.2860240123985767	3.4100325164745833
GSCOC_T00003246001	4.197140083001337	4.008103421204838	5.295849115513694	5.10116320007497	-1.1840253800666785	-0.8442017505463275	-0.2566621919232468	-2.145919469069578
GSCOC_T00003255001	7.946853745961761	7.802648138726318	9.008202264711311	8.956418932042533	5.331569199904347	5.1122919741133765	5.527880704033624	5.337414647934
GSCOC_T00003262001	0.30987691754974067	1.75059007506971	1.5841856172767204	1.4110850117586042	-0.6303594707510168	-0.2612576129126484	-0.8782733846078571	-1.414797624346505
GSCOC_T00003284001	0.6178163720083695	1.5799675859313909	1.0621339460976944	1.3246377814045422	2.496445550134969	2.6190088115918644	1.9558030518934022	2.435895219115877
GSCOC_T00003320001	-0.3702759873318192	-0.34396644669086823	-1.2631282998533477	-0.8114583729773129	1.7785830529392948	2.245589174283181	2.014809316613888	2.248351365818639
GSCOC_T00003321001	5.645709910045475	6.124994225669138	4.626414778542316	5.126115888929148	1.2190481569049374	1.4145120528493786	0.7875427751301165	1.0121149639104778
GSCOC_T00003341001	1.587869196069997	1.0534232783550634	1.289343608040573	0.5950115541674652	-1.1313414499248895	-2.0083711984503156	-5.270591241751126	-3.3618137923465783
GSCOC_T00003346001	-5.0476758195696245	-0.08962316672957396	-5.074027857923949	-5.064645457880624	0.954602886400913	0.9493084251549351	1.6242277493001853	1.8779858345161846
GSCOC_T00003361001	4.239828182765441	4.141937795088543	4.205562521320483	4.38485793060988	1.3716314767581466	1.0401536531216409	2.121926130742774	1.7454481806535442
GSCOC_T00003540001	5.191923026217127	5.538317703271444	6.2917542929571875	6.568804208804319	4.546966794645625	4.652485854967529	4.43503960971212	4.756462021550623
GSCOC_T00003550001	5.809527512464988	5.926999602600713	6.488691403111464	6.6457297422395225	2.441300447342021	2.691607243241028	2.7792584861999345	2.802432207338638
GSCOC_T00003637001	2.4521703020461354	1.8750386345129464	3.608830680027144	3.454989109697115	-5.385247839914727	-5.390541447085101	-5.270591241751126	-5.321687430527085
