	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00000002001	3.57164087498793	1.67952008247242	7.4628423225188	4.14292961115699e-05	55.6940155307778	4.14292961115699e-05
GSCOC_T00000011001	1.65990165976733	3.20511002535695	6.92391030964453	7.37272867100253e-05	47.9405339760018	7.37272867100254e-05
GSCOC_T00000014001	3.68847538404526	-0.192356127172747	-0.51478762045509	0.619276771394214	0.265006294173814	0.619276771394214
GSCOC_T00000023001	3.46630924535182	-0.965316501431707	-5.55125367712909	0.00037419597443545	30.8164173878393	0.00037419597443545
GSCOC_T00000028001	1.72989508235427	0.520575438344703	0.658486735443189	0.526938225988544	0.433604780754628	0.526938225988544
GSCOC_T00000029001	6.03914406535207	0.50628384977029	0.563517998687991	0.58703692818301	0.317552534845318	0.58703692818301
GSCOC_T00000034001	1.55570541105435	-1.32541273823703	-3.98430386735023	0.00327613463186197	15.874677307382	0.00327613463186197
GSCOC_T00000037001	5.9357651275599	0.0814153189326827	0.693788834724308	0.505567744360053	0.481342947188113	0.505567744360053
GSCOC_T00000040001	3.22458099691457	0.495623669599739	1.99622244978671	0.0774702471356683	3.98490406903244	0.0774702471356683
GSCOC_T00000042001	3.95281293654684	1.02308792350655	4.61902262070246	0.00130353095634593	21.335369970561	0.00130353095634593
GSCOC_T00000043001	4.58941500492974	0.0972684550291945	0.7288458921792	0.484885175586973	0.531216334546494	0.484885175586973
GSCOC_T00000045001	5.8335776471884	0.468514425150939	4.71701207596995	0.00113655174524076	22.2502029248464	0.00113655174524076
GSCOC_T00000049001	3.48419972559245	0.411841409396514	2.05193912087108	0.0708333636634474	4.21045415576117	0.0708333636634474
GSCOC_T00000057001	-0.116284817857757	-1.86029199493232	-4.32640637563568	0.00197929639998154	18.7177921271411	0.00197929639998154
GSCOC_T00000060001	0.0965140748105479	0.983475388165663	2.98759625129827	0.0154973668674048	8.92573136077148	0.0154973668674048
GSCOC_T00000062001	1.97350000938775	2.29530660862027	7.28303163925258	5.00375864370052e-05	53.0425498583541	5.00375864370051e-05
GSCOC_T00000066001	3.57449464377657	-0.0385353869838285	-0.202649188053455	0.843979100533713	0.0410666934187245	0.843979100533713
GSCOC_T00000068001	-0.781583033916888	2.88351598221324	3.63234862891915	0.0055953694183467	13.1939565620109	0.00559536941834669
GSCOC_T00000084001	5.02942299312546	0.167720761975803	1.81796907424613	0.10290403239217	3.30501155491531	0.10290403239217
GSCOC_T00000086001	4.38279542642203	-0.389134141124558	-2.45591385437225	0.0367581792540208	6.03151286009757	0.0367581792540208
GSCOC_T00000088001	6.98068196971754	0.813557749707982	7.98428173567924	2.44191057417905e-05	63.748754834701	2.44191057417904e-05
GSCOC_T00000089001	5.61297908607001	4.49616131279635	13.3810884037495	3.47732587760973e-07	179.053526868959	3.47732587760974e-07
GSCOC_T00000092001	6.47442504986678	0.0339165086738333	0.144065615650997	0.888667163425811	0.0207549016129009	0.888667163425811
GSCOC_T00000093001	4.90838681432795	-1.90537471920173	-5.63820386367127	0.000335166585999171	31.7893428083176	0.000335166585999171
GSCOC_T00000094001	5.17738084643734	-1.47074878601057	-7.40894030123549	4.38256953437606e-05	54.8923963872714	4.38256953437606e-05
GSCOC_T00000095001	2.04039058910552	-5.7296751513713	-18.0820222750851	2.62242108406886e-08	326.959529556674	2.62242108406886e-08
GSCOC_T00000096001	1.48570269313202	-5.3659016771998	-7.43118284727303	4.28188813184819e-05	55.2224785096049	4.28188813184819e-05
GSCOC_T00000097001	5.16622084724025	-4.14602225084211	-21.5385184607579	5.73125900814368e-09	463.907777484409	5.73125900814368e-09
GSCOC_T00000098001	-1.48565454863497	-6.55308646139417	-11.9459774165497	9.06853912526439e-07	142.706376436714	9.06853912526439e-07
GSCOC_T00000102001	7.00650466852731	-0.888686000122422	-3.7942445198647	0.00436525060856306	14.3962914765233	0.00436525060856306
GSCOC_T00000103001	5.34447507632438	-0.957389269238582	-3.78397832691863	0.00443406672896078	14.3184919785899	0.00443406672896078
GSCOC_T00000104001	4.94334297255593	-0.421965060717051	-2.09842370739888	0.0657176681341662	4.40338205577368	0.0657176681341662
GSCOC_T00000106001	1.04695798720798	-1.01779046620506	-3.75967840162633	0.00460156262215598	14.1351816836555	0.00460156262215598
GSCOC_T00000115001	-1.49031125776084	-6.00666641514835	-9.10298290398855	8.56016946103367e-06	82.8642977503077	8.56016946103367e-06
GSCOC_T00000121001	1.75361962438949	0.361829188515242	0.65492623518558	0.529123440021211	0.428928373534358	0.529123440021211
GSCOC_T00000134001	7.67835168748025	0.281576371219793	2.83584204079856	0.0198045007289704	8.04200008036051	0.0198045007289704
GSCOC_T00000136001	1.56497592793753	-5.35770316512094	-8.93889629872	9.9155617758983e-06	79.9038670392701	9.9155617758983e-06
GSCOC_T00000137001	5.91145056742092	-3.71458828182574	-16.920951914224	4.65502481227377e-08	286.318613683482	4.65502481227378e-08
GSCOC_T00000138001	2.6909880202317	-3.79864969909732	-5.08388593218878	0.000688782291540766	25.845896171507	0.000688782291540766
GSCOC_T00000139001	0.2463519149139	-2.28241600675313	-7.53005296311171	3.86404311990144e-05	56.7016976272675	3.86404311990144e-05
GSCOC_T00000140001	2.07821660173789	-2.16556112924285	-7.91196016048721	2.62342365018461e-05	62.5991135811368	2.62342365018461e-05
GSCOC_T00000152001	5.85356056249908	0.0904056342510042	1.1332740768999	0.286786900487	1.28431013337332	0.286786900487
GSCOC_T00000196001	3.1894120264343	0.204324447028791	1.15117744672403	0.279730851159569	1.32520951384605	0.279730851159569
GSCOC_T00000204001	-0.121194602304593	1.58633046725856	3.07158890768552	0.0135400215239725	9.43465841781674	0.0135400215239725
