geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSCOC_T00028226001	2.960472e+00	5.5856903292	21.008349920	7.122373e-09	8.864030e-07	11.2109812643
GSCOC_T00037528001	2.960464e+00	2.9265330950	14.015200579	2.344945e-07	6.391364e-06	7.7465594797
GSCOC_T00024147001	-2.957552e+00	4.3478266285	-11.368799878	1.373257e-06	1.908857e-05	5.7799453481
GSCOC_T00004102001	2.955417e+00	2.1641168775	10.968247510	1.851990e-06	2.301794e-05	5.7012668793
GSCOC_T00029143001	2.955226e+00	-0.1084597801	3.290858431	9.545870e-03	1.867358e-02	-2.7405306493
GSCOC_T00008216001	-2.954898e+00	4.4901186545	-7.738404315	3.122512e-05	1.767467e-04	2.4055499505
GSCOC_T00005756001	-2.954843e+00	1.6563376074	-6.492577342	1.197564e-04	5.039705e-04	1.4655883324
GSCOC_T00036559001	-2.953694e+00	3.7749351211	-10.251603581	3.241365e-06	3.441442e-05	4.9440456978
GSCOC_T00022654001	-2.950546e+00	2.2940102140	-11.062018683	1.725290e-06	2.186538e-05	5.7608251413
GSCOC_T00042171001	2.949941e+00	0.4056687681	5.199775219	5.903725e-04	1.811322e-03	0.0014371672
GSCOC_T00029170001	-2.949816e+00	2.3455742212	-5.734391034	2.970722e-04	1.038723e-03	0.3964841851
GSCOC_T00034834001	-2.948616e+00	4.4807955338	-19.684052364	1.255369e-08	1.239960e-06	10.6523736978
GSCOC_T00005544001	-2.948341e+00	1.9922141925	-5.283282301	5.289252e-04	1.658656e-03	-0.1444863240
GSCOC_T00016220001	2.946725e+00	-0.2110059812	5.376624387	4.683250e-04	1.504507e-03	0.2934732863
GSCOC_T00007149001	-2.946245e+00	6.2293111238	-3.164996699	1.166034e-02	2.219364e-02	-4.1094785167
GSCOC_T00022789001	-2.946101e+00	3.3862205333	-10.684555313	2.302346e-06	2.701458e-05	5.3568963268
GSCOC_T00037124001	2.942756e+00	8.2256418561	7.581947579	3.662797e-05	2.002844e-04	2.1285157668
GSCOC_T00033880001	-2.940795e+00	1.6747165529	-8.604288076	1.347464e-05	9.389499e-05	3.7151120112
GSCOC_T00023194001	-2.939338e+00	7.0529205934	-25.793915923	1.184033e-09	3.765912e-07	13.0070082084
GSCOC_T00036703001	2.937367e+00	2.6157900513	10.964272475	1.857583e-06	2.304144e-05	5.6772516063
GSCOC_T00016100001	2.937172e+00	6.2150031870	7.475389943	4.089231e-05	2.187073e-04	1.9706420627
GSCOC_T00019934001	2.936916e+00	5.3488728142	10.701356857	2.272539e-06	2.669840e-05	5.1614152100
GSCOC_T00035379001	2.936554e+00	3.0495854682	17.571287873	3.360480e-08	2.112237e-06	9.6387269022
GSCOC_T00016812001	2.936318e+00	1.3035368607	6.294977781	1.506825e-04	6.027299e-04	1.2946046332
GSCOC_T00012542001	2.936291e+00	4.3777499141	15.535171623	9.715172e-08	3.786280e-06	8.5813915491
GSCOC_T00028124001	2.935561e+00	1.6433121378	3.769059453	4.536122e-03	9.861354e-03	-2.2874764274
GSCOC_T00035131001	2.930664e+00	-0.6779036117	3.907907471	3.674589e-03	8.247833e-03	-1.7111111028
GSCOC_T00042746001	-2.928958e+00	0.1360446808	-3.589552507	5.978231e-03	1.248868e-02	-2.3341785216
GSCOC_T00004755001	-2.928840e+00	4.2718254365	-14.019150004	2.339319e-07	6.391364e-06	7.6572458776
GSCOC_T00022900001	2.928641e+00	8.0646691112	9.792253472	4.724494e-06	4.484054e-05	4.3323120360
GSCOC_T00019993001	2.928490e+00	5.4976664284	18.657402376	1.998885e-08	1.611165e-06	10.1571333386
GSCOC_T00021389001	-2.927749e+00	6.7327326055	-19.642749655	1.278503e-08	1.250568e-06	10.5784736207
GSCOC_T00033803001	2.926341e+00	4.1645665525	12.198313637	7.606409e-07	1.294407e-05	6.4536902465
GSCOC_T00036616001	-2.926077e+00	1.9137688310	-7.175084511	5.613620e-05	2.759217e-04	2.2175696630
GSCOC_T00033258001	-2.925605e+00	2.5472374843	-9.870866269	4.424812e-06	4.292854e-05	4.7757573539
GSCOC_T00023000001	2.925163e+00	0.8480124704	7.720581946	3.179398e-05	1.793742e-04	2.9097070250
GSCOC_T00027853001	2.924556e+00	5.4417488736	10.047909592	3.823825e-06	3.879520e-05	4.5919521759
GSCOC_T00028437001	2.923247e+00	1.9784996114	10.342608033	3.013409e-06	3.259230e-05	5.2200169032
GSCOC_T00035217001	-2.923233e+00	0.1348694304	-3.976286330	3.315711e-03	7.563256e-03	-1.7363207461
GSCOC_T00008233001	-2.922763e+00	1.1778357132	-4.303905852	2.044947e-03	5.060321e-03	-1.4097952764
GSCOC_T00038678001	-2.922312e+00	6.1498792837	-12.572285197	5.896388e-07	1.109615e-05	6.5223135356
GSCOC_T00000535001	2.921972e+00	0.9726831111	7.079648253	6.221050e-05	2.997795e-04	2.2287598823
GSCOC_T00023706001	2.920949e+00	7.6232073397	19.753508370	1.217507e-08	1.215424e-06	10.6477566930
GSCOC_T00031721001	2.920049e+00	0.9432414303	6.402344253	1.329216e-04	5.482503e-04	1.4611334204
GSCOC_T00032488001	-2.919516e+00	4.8952670902	-17.458239517	3.553380e-08	2.199014e-06	9.5726963746
GSCOC_T00041687001	2.918312e+00	2.3763681161	8.677897821	1.258515e-05	8.884418e-05	3.7337127952
GSCOC_T00038548001	2.915342e+00	2.0712890519	11.114233367	1.658914e-06	2.128538e-05	5.8121887997
GSCOC_T00001450001	-2.914259e+00	0.4885002504	-7.732751260	3.140434e-05	1.775069e-04	2.9289680094
GSCOC_T00039104001	2.914035e+00	2.2322793073	6.069072021	1.971184e-04	7.471687e-04	0.8802162961
GSCOC_T00023119001	2.913498e+00	1.0128817781	5.781246215	2.802426e-04	9.919545e-04	0.6897819315
GSCOC_T00030383001	2.912727e+00	4.1140156945	6.116703007	1.861630e-04	7.129025e-04	0.5833225199
GSCOC_T00026020001	2.912317e+00	3.4126680815	14.273815809	2.006248e-07	5.842847e-06	7.8915048408
GSCOC_T00031865001	-2.911614e+00	-0.8438569230	-5.949085826	2.279565e-04	8.373657e-04	1.0250811231
GSCOC_T00020664001	-2.911291e+00	0.6200760420	-9.693832812	5.131697e-06	4.735703e-05	4.6889294860
GSCOC_T00022743001	-2.910227e+00	5.2068120895	-22.034692121	4.698268e-09	7.144735e-07	11.6301878787
GSCOC_T00040238001	-2.910032e+00	1.9037016215	-13.476298868	3.274046e-07	7.714236e-06	7.3899682038
GSCOC_T00040262001	2.909752e+00	2.4408627633	9.102377572	8.564778e-06	6.732096e-05	4.1246199391
GSCOC_T00023236001	2.908596e+00	3.3324938426	10.416701699	2.840861e-06	3.138059e-05	5.1652421179
GSCOC_T00026732001	-2.908435e+00	0.4648482854	-7.867384119	2.742656e-05	1.598998e-04	3.0629295443
GSCOC_T00011073001	-2.907736e+00	2.3665348698	-8.518740418	1.459636e-05	9.901337e-05	3.5581797002
GSCOC_T00031015001	2.907652e+00	0.1494344753	8.464744988	1.535706e-05	1.026443e-04	3.6178311949
GSCOC_T00041899001	-2.907391e+00	2.3174268409	-12.365219316	6.783424e-07	1.208748e-05	6.6948888323
GSCOC_T00017360001	-2.905918e+00	6.2259948767	-8.461267887	1.540752e-05	1.028343e-04	2.9889015463
GSCOC_T00042937001	2.905913e+00	4.2204377947	12.852534340	4.893728e-07	9.908473e-06	6.9103954147
GSCOC_T00022100001	2.905553e+00	3.2334381919	7.720360761	3.180111e-05	1.793742e-04	2.6286286715
GSCOC_T00015533001	-2.905118e+00	1.2965604976	-1.735604096	1.171308e-01	1.625965e-01	-5.4699497932
GSCOC_T00039620001	2.904402e+00	4.2477801637	13.540253151	3.144901e-07	7.556022e-06	7.3706071793
GSCOC_T00035097001	2.902312e+00	2.8116414770	11.076928329	1.706042e-06	2.172469e-05	5.7486280133
GSCOC_T00036480001	2.901787e+00	1.0540890888	8.124592680	2.127848e-05	1.313665e-04	3.3011112168
GSCOC_T00022090001	2.901176e+00	7.6394345851	7.973104331	2.469039e-05	1.475889e-04	2.5142633704
GSCOC_T00025874001	-2.900451e+00	1.8815065658	-3.933319598	3.536627e-03	7.984248e-03	-2.1128493581
